stats_experience,programming_experience,programming_languages,learn_best,data_interests
"Yes, I have taken a high school statistics course",None,NA,Visually,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"I'm the most confident with Python and Java, and I've done a little work with HTML/CSS.",I love lecture style with additional videos given to refer to outside of class.,"Economics,Politics"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,I learn best by having professors creating a space for students to ask questions and allowing us students to clear any confusion we have-- especially if we are learning new subjects ,"Entertainment (e.g.\, books\, movies\, music),Sports"
"Yes, I have taken a high school statistics course",None,"Python, SQL

Very little though",Visual learning is the best for me.,"Education,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",None,NA,Lecture slides or on my own are the ways I can learn the best. I also love doing practice problems and problems that challenge me more than regular problems.,"Economics,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,When there is no pressure and when the class environment makes me feel like it is okay to be slow and have no knwoeldge about the class material beforehand. ,"Economics,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,"I've used Python, but I'm not that advanced in it","I learn best with lots of practice problems and talking things out with teammates. I recognize that I sometimes process things better with my time, so practice problems are super helpful for me.","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,I have used RStudio in a class in high school.,I need to meet with TA/Professors often. I also need an in depth and clear teaching style ,"Economics,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,NA,A traditional course style,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Other"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,NA,By doing problems alone over and over again! I often struggle to pay attention in class and learn along the way and usually get the best work done by myself by just going over things a lot. ,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"No, I have not taken any statistics courses",None,Python,With visuals and not from a textbook,"Crime,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",None,NA,"In smaller group settings, I really like the lab component. ","Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"C++, felt somewhat comfortable",Working through examples as well as a quiet environment during lectures.,"Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",None,"Python, not too comfortable but I did take a class that used it during high school. ","Constant feedback, I like frequent progress checks to make sure I am not falling behind. ","Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,I have never programmed before,with immediately putting into practice what I learn ,"Crime,Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,python,Through lectures and labs.,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,"Python- Comfortable with creating methods, using different data structures such as stacks queues and arrays, and creating simple projects.

Java- Skill equal to Python",I learn best when the teacher is easy to understand and grades fairly. I am able to grasp topics quickly when I do a lot of practice problems and the answers are gone over.,"Economics,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,the block one? I did ap csp,"I learn best through asking questions, watching videos, and doing practice problems. I'm not the best at just memorizing and retaining information; I need to be able to apply these concepts to real problems.","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I'm a visual learner ,"Crime,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"one on one explanations when I don't understand something, and through exposure to the concepts.","Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,visual and following along ,"Economics,Other"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,n/a,"clear and detailed instructions, step by step, lots of notes","Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",None,NA,Seeing examples and doing walkthroughs,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,"I've programmed a little in R and Python. However, I'm not incredibly comfortable with both. ",Seeing something worked out and then having the opportunity to do it myself ,"Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate"
"No, I have not taken any statistics courses",None,NA,I learn best when I am supported by people and resources available for help.,"Crime,Economics,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,"Visually, by example","Crime,Entertainment (e.g.\, books\, movies\, music),Sports"
"Yes, I have taken a high school statistics course",None,Python because I took CS101. I would say I am familiar with the language but I definitely struggled in the class. ,"Visual learning, Hands on practice, Step by step explanations","Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,"I learn best by doing hands-on projects and applying what I've learned to different scenarios. I like to learn the theory, and then apply the theory to something to practice it and understand it on a deeper level. ","Crime,Economics,Education,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken another college course on statistics",None,"I've used Java. I feel decently comfortable with it, since I programmed a few projects in it years ago. I still remember the basics, but nothing super in-depth. I've also used Python and Stata very basically. ",Visually learner + doing the projects,"Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,Python very briefly,I learn best by being actively engaged in class and preparing well beforehand. I also enjoy it when professors give us hands on work during class.,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,NA,With professors who are communicative about their expectations,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,NA,By taking notes and then doing an activity to put something into action,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Python and Java, semi-confident","I think going through the material together as a group, then learning the content through hands-on activities, and being able to comfortably ask for help and have opportunities to do so when necessary.","Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",None,"Psychopy (haven't used in while), MATLAB (minimal for fMRI processing)","I'm a visual learner and I respond well to clear graphics paired with text related to what the speaker is saying. I find it helpful to follow along with the text. For coding demonstrations, it helps to be zoomed in and ideally a larger arrow or cursor or highlighting so that I can follow along.","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",None,Just scratch.mit.edu,I learn best through experience and visual aids.,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best by getting to know my teacher and attending office hours.,"Economics,Sports,Other"
"Yes, I have taken a high school statistics course",None,NA,With labs and activities to apply learning.,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,NA,In dialogue with a teacher/advisor; lectures with good note-taking also help,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",None,NA,Hands on practice,"Economics,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,I've done a bit of python but i wouldn't say i'm good at it.  ,I learn through visual demonstrations and exercises. I also learn a lot through examples.,"Crime,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,I used R and I feel rather comfortable with it but I haven't used it in a long time.,I learn best doing group activities and practising over and over again.,"Crime,Economics,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best in small groups and with hands-on practice. ,"Crime,Education,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Python, Java + JavaScript - proficient in them, but not an expert/advanced in either","I learn best through audio. That looks like me explaining, listening, or even teaching. I have found that when assignments have a speaking or discussing component where I can disseminate and explain my thoughts, I understand concepts much better and my performance improves. ","Economics,Education,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Python (comfortable), Java (somewhat comfortable)",I learn best by asking a lot of questions. I also learn best by analogy. ,"Education,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,none,when I focus in class and take good notes,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"It sometimes just takes a second for me to understand concepts, but with really good communication with professors/ta","Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"I have taken COMPSCI 101 and COMPSCI 201 at Duke and those focused on Java and Python. I feel fairly comfortable in both languages, but I did not code projects outside of class.","Through doing activities, hands on learning.",Other
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"I learn best by seeing correct models of practice and doing them myself, and asking questions to get feedback on my work.","Economics,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,Python-rusty with it now,I learn best by being shown what to do and receiving all the information beforehand. I also learn by being able to ask questions and work with others that I feel comfortable with!,"Economics,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,NA,I learn best through practice and doing projects,"Crime,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,trial and error and asking questions,"Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,Python: kind of uncomfortable,"I learn best from hands-on activities and exercises. I also can learn well from reading and listening to lectures, but I prefer doing hands-on exercises.","Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,With step-by-step written instructions ,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,NA,Practice,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,I have taken CS 201 in freshmen year and coded in javascript.,I learn best through applications of topics and hands-on activities.,"Economics,Environment/Climate,Politics,Sports,Other"
"No, I have not taken any statistics courses",None,I've used Java and Javascript before but I am not really comfortable in using them.,I like to have problems that are applied rather than pure theory.,"Economics,Education,Environment/Climate,Politics"
"Yes, I have taken a high school statistics course",None,NA,"By watching and doing. Also by answering my questions, even if they're silly or simply to double check something.","Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java, C, MIPS",I learned best by reading with frequent exercises to practice material.,"Education,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,i don't really remember much at all!,I learn best through practice problems and talking through those practice problems -- whether that is watching videos of people solving problems or solving questions with another person. I also learn well reading information beforehand and then hearing it a second time in a different format. ,"Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Sports"
"No, I have not taken any statistics courses",None,"Java (Proficient), Python (Proficient), SQL (Beginner)",Engaging presentations/lecture style,"Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,"Active learning, regularly being assessed on the content through engagement","Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best through study materials that spell out the content for me and what I need to know for examinations. ,"Crime,Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Python - Moderate

Java - Moderate",Visually and interactively ,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,NA,orally/through video ,"Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,JavaScript and Python,"When it comes to anything math related, slowly.","Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A lot — I use programming regularly and feel confident writing code,NA,I am a visual learned but after seeing it done I need to try it myself. ,"Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,"Java (comfortable), Python (very profiecient), and C# (rarely)",through lectures and in class led step-by-step practice,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Java - comfortable

Python - comfortable

C - comfortable

C++ - barely remember 

C# - barely remember. ","In class, I learn best from a combination of verbal and visual explanations. Outside of class, I learn best when there are many opportunities to ask questions and seek additional practice.","Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,"I’ve mainly used JavaScript, but I’ve also learned a little bit of Python. I am somewhat uncomfortable with both, but hope to understand coding better in the near future! ",Hands on activities,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Python - ok

Java - ok

Javascript (Vue) - ok","building connections btw topics

 ","Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics"
"Yes, I have taken a high school statistics course",None,"Java, I took AP CS during my sophomore year of high school, but I wouldn't say I am at all proficient in coding (and I forgot most of the stuff since I didn't pursue CS at all my junior and senior year). I'm not really comfortable coding but I can decipher/read through simple code.",Through hands-on projects,"Crime,Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"I did an internship in high school that involved a research project in Python, and I took Evolutionary Anthropology this summer, an R based class.",Experiential Learner,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,Python - I've only taken an intro to CS course,"I tend to learn best through hands-on work involving the course material. I find that projects tend to result in my best learning, as I get to create something with what I learn in lecture, which results in a much deeper understanding. ","Economics,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,NA,Visually ,"Crime,Economics,Education,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"When I actually get to interact with the material in many different formats, I feel like I grasp the concepts better, which is why I appreciate the lab structure. I also really like having access to different types of material to review when I study (lectures, notes, slides, etc).","Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,Through hands-on experiences and explaining concepts in my own language.,"Education,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,"I learn best when I'm able to discuss and collaborate with classmates, as listening to different perspectives often stimulates my ideas and thought processes.","Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,"In a coding/stats class like this, I learn best from guided examples. I think recorded lectures and lecture slides are super helpful too.","Crime,Politics"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,"Lecture based learning, practice problems. ","Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best when I'm shown how to do something and then am able to practice doing it myself afterward.,"Economics,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,"I learn best through interactive activities. I think when I read/listen to content, I'm less able to pick up on information. ","Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Java - one class, decently comfortable

Python - one class, decently comfortable",Seeing someone walk through examples that use concepts taught and explaining how/why they're solving that example the way that they are; Guided practice on similar types of problems,NA
"Yes, I have taken a high school statistics course",None,NA,A combination of lecture time and individual time to process the material. ,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,"Personally, I learn best through repetition. If I do a particular exercise multiple times, I can build habits and become more comfortable with what I am learning.","Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",None,"I have used Python, Java, and R.","I think that I learn best by observing someone go over the content, then having the opportunity to practice/apply the content myself.","Economics,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,python,Through practice,"Crime,Education,Politics"
"Yes, I have taken another college course on statistics",Some — I’ve worked on a few projects or used it occasionally,I took CS101 last semester and coded in python. I feel comfortable with it but definitely have a lot to learn as 101 was just the basics. ,Going over concepts clearly in lecture and then applying it to examples. Seeing worked examples first before attempting on my own would be nice. ,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,"HTML/CSS and Python, comfortable but definitely need a refresher (it was a sophomore year course)",When I can go back and re-review content (so I don't feel like I missed everything if I fall behind),"Entertainment (e.g.\, books\, movies\, music),Sports"
"Yes, I have taken a high school statistics course",None,NA,I learn best during lecture when i'm given examples that are broken down and explained thoroughly. ,"Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,Python - moderately comfortable but haven't coded in this since freshman year (I am a senior).,"visual, handson","Crime,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,I took CS 101 which involved programming in python but I do not feel very confident in coding since it's been a long time. ,example problems ,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"C++ - comfortable

Python - comfortable

Java - decently comfortable",I learn best with examples and going step by step. ,"Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics,Other"
"No, I have not taken any statistics courses",None,"R - semi comfortable

Python - not very comfortable","I learn best with lecture style to provide all the information I need and then working through exercises with someone more knowledgable than me (i.e. the professor, a TA, etc)",Sports
"Yes, I have taken another college course on statistics",None,NA,I learn best using a mixture of visual models and reading/writing practice. ,"Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,going step by step and assistance ,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",None,NA,through small group interactive classes ,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,R-Studio and Python,I learn best through the use of examples and continuous practice problems. ,"Economics,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,I learn best visually,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,Python and Javascript. I have not used these in 2 years so I do not feel very confident with them. ,By seeing and then doing,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,"I've used Python, Java, and C. I'm pretty comfortable with Python and Java, but I'm not confident with coding in C.",Practice,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"Yes, I have taken a high school statistics course",None,NA,I learn best with lectures that I can refer back to and lots of practice questions before moving on to the next topic.,"Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",None,Python (CS101),"Consuming new material on my own (aka watching videos, lectures, etc) and practicing alongside others.","Economics,Health (e.g.\, social determinants of health\, medical),Other"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"I am a visual and auditory learner, so being able to have instructions or knowledge spoken to me, as well as a set of visuals, will ensure the best learning for me.","Crime,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,NA,I learn best through practice problems in which the instructor first demonstrates solving a problem and then has us attempt a similar problem on our own.,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Most familiar to least: Java, Mathematica, Python, Matlab, React",Through exercises and peer collaboration,"Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java, slightly comfortable",I learn the best by doing. Working on the projects or assignments with tutors to learn one on one. ,"Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best seeing something done first then working on problems after myself/ with people,"Health (e.g.\, social determinants of health\, medical),Other"
"Yes, I have taken a high school statistics course",None,Python 3 - compsci 101,Attend lectures and do homework,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,Python - I've used it very little.,"I learn best through solving practice problems in groups, and then trying to solve ones with similar/greater difficulty on my own. It has been my experience that you can only learn technical stuff (math, statistics...) by struggling through problems. ","Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"I learn best by listening, reading, and applying what I've learned by completing homework or tasks.","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,"Java - not very comfortable.

Python - even less comfortable!","I learn best by watching lectures and taking notes, and then practicing what I learned. ","Crime,Economics,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,no,"I personally love lecture style classes, and if I'm in an environment where I can listen intently to someone standing and explaining a concept, I will learn a lot.

I love graphs, charts, presentations, but I pick most things up well by ear and by jotting them down. I find myself having ""dumb"" questions sometimes, but usually I can pick up on things pretty fast once those are cleared up.","Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"No, I have not taken any statistics courses",None,"I have used html and R, however, I did not program extensively in either language and am not confident in my coding skills.","I learn best when I get tested on my knowledge, especially when it's working on a project.","Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,"I've used Java, C#, C, and Python in the past. I'm most comfortable in Java, C#, and Python, and not very comfortable with C.",Visually and repetition ,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken another college course on statistics",None,"Python, but I don't remember anything","Talking through problems, going step - by - step","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,"Python, Java, C++, JavaScript, Rust",doing,"Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate"
"No, I have not taken any statistics courses",None,I have used Python and am not very comfortable. ,Practice and rewriting/organizing notes,"Crime,Economics,Education,Politics"
