Timestamp,"How many classes do you have on Tuesdays?","What year are you?"
2/9/2026 11:46:34,One ,First-year
2/9/2026 11:46:37,Three,First-year
2/9/2026 11:46:37,2,First-year
2/9/2026 11:46:38,2,Sophomore
2/9/2026 11:46:38,2,First-year
2/9/2026 11:46:38,3,Junior
2/9/2026 11:46:39,0,Senior
2/9/2026 11:46:41,2,First-year
2/9/2026 11:46:41,1,First-year
2/9/2026 11:46:41,1,First-year
2/9/2026 11:46:41,2,Junior
2/9/2026 11:46:43,2,Junior
2/9/2026 11:46:43,1,Sophomore
2/9/2026 11:46:43,2,First-year
2/9/2026 11:46:45,3,First-year
2/9/2026 11:46:45,1,Sophomore
2/9/2026 11:46:45,2,Sophomore
2/9/2026 11:46:46,3,First-year
2/9/2026 11:46:46,3,Sophomore
2/9/2026 11:46:50,3,Junior
2/9/2026 11:46:52,2,First-year
2/9/2026 11:46:53,2,First-year
2/9/2026 11:46:53,2,First-year
2/9/2026 11:46:53,1,Sophomore
2/9/2026 11:46:59,2,Sophomore
2/9/2026 11:47:01,2,First-year
2/9/2026 11:47:02,3,Sophomore
2/9/2026 11:47:02,1,First-year
2/9/2026 11:47:04,0,Senior
2/9/2026 11:47:04,4,Sophomore
2/9/2026 11:47:05,3,Sophomore
2/9/2026 11:47:06,2,Junior
2/9/2026 11:47:06,2,First-year
2/9/2026 11:47:07,2,Junior
2/9/2026 11:47:10,1,First-year
2/9/2026 11:47:12,1,Junior
2/9/2026 11:47:13,"1 class, 1 lab, 1 volunteering session",Sophomore
2/9/2026 11:47:19,1,Junior
2/9/2026 11:47:24,2,Sophomore
2/9/2026 11:47:27,1,Junior
2/9/2026 11:47:32,0,Sophomore
2/9/2026 11:47:32,3,Sophomore
2/9/2026 11:47:35,2,Sophomore
2/9/2026 11:47:35,3,Sophomore
2/9/2026 11:47:38,3,First-year
2/9/2026 11:47:39,2,First-year
2/9/2026 11:47:50,2,First-year
2/9/2026 11:47:53,1,Junior
2/9/2026 11:47:58,3,Junior
2/9/2026 11:47:58,3,Junior
2/9/2026 11:48:00,2,First-year
2/9/2026 11:48:02,1,First-year
2/9/2026 11:48:04,3,Junior
2/9/2026 11:48:21,1,Sophomore
2/9/2026 11:48:30,1,First-year
2/9/2026 11:48:33,2,First-year
2/9/2026 11:48:39,2,Sophomore
2/9/2026 11:48:42,3,Junior
2/9/2026 11:49:02,1,First-year
2/9/2026 11:50:52,2,Sophomore
2/9/2026 11:51:02,2,Sophomore
2/9/2026 11:51:11,2,Senior
2/9/2026 11:51:35,3,Sophomore
2/9/2026 11:51:35,3,First-year
2/9/2026 11:52:09,2,Sophomore
2/9/2026 11:53:54,2,First-year
2/9/2026 11:53:58,1,Junior
2/9/2026 11:54:33,2,Sophomore
2/9/2026 11:54:34,2,Junior
2/9/2026 11:54:46,1,Sophomore
2/9/2026 11:54:53,2,First-year
2/9/2026 11:55:00,2,First-year
2/9/2026 11:55:12,2,First-year
2/9/2026 11:55:17,2,First-year
2/9/2026 11:55:33,4,First-year
2/9/2026 11:55:37,2,Sophomore
2/9/2026 11:55:52,3,First-year
2/9/2026 11:55:53,3,First-year
2/9/2026 11:55:57,3,First-year
2/9/2026 11:55:59,2,Sophomore
2/9/2026 11:56:01,2,Junior
2/9/2026 11:56:03,2,First-year
2/9/2026 11:56:21,3,First-year
2/9/2026 11:56:24,4,First-year
2/9/2026 11:57:16,2,First-year
2/9/2026 11:58:10,2,Junior
2/9/2026 11:58:57,2,Sophomore
2/9/2026 11:59:09,1,Junior
2/9/2026 12:04:48,2,First-year
2/9/2026 12:11:19,3,Senior
2/9/2026 12:12:20,2,Sophomore
2/9/2026 12:12:22,1,Sophomore
2/9/2026 12:24:41,2,First-year
2/9/2026 12:32:34,3,Sophomore
2/9/2026 12:48:14,Two,Sophomore
2/9/2026 12:51:55,2,Sophomore
2/9/2026 12:54:54,3,First-year
2/9/2026 12:55:27,3,Sophomore
2/9/2026 12:58:32,2,First-year
2/9/2026 12:58:32,1,First-year
2/9/2026 12:59:25,2,First-year
